ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount,create_time
000806.CSI,20250819,8640.9673,8689.7107,8773.2239,8633.1029,8689.981,-49.0137,-0.564,68301164.0,187733087.4,2025-08-19 15:11:41
000807.CSI,20250819,19449.6079,19256.9275,19560.0469,19256.2779,19229.5427,220.0652,1.1444,9164116.0,38044753.5,2025-08-19 15:11:41
000808.CSI,20250819,9162.9646,9286.2075,9437.4409,9162.1597,9276.7901,-113.8255,-1.227,24092862.0,77543688.6,2025-08-19 15:11:41
000811.CSI,20250819,7779.6937,7823.5178,7918.1553,7758.4714,7822.9113,-43.2176,-0.5524,39809333.0,80046311.6,2025-08-19 15:11:41
000811.SH,20250819,7779.6937,7823.5178,7918.1553,7758.4714,7822.9113,-43.2176,-0.5524,39809333.0,80046311.6,2025-08-19 15:11:41
000812.CSI,20250819,6236.3689,6291.3592,6308.2378,6219.4654,6274.6947,-38.3258,-0.6108,27787684.0,69445620.4,2025-08-19 15:11:41
000812.SH,20250819,6236.3689,6291.3592,6308.2378,6219.4654,6274.6947,-38.3258,-0.6108,27787684.0,69445620.4,2025-08-19 15:11:41
000813.CSI,20250819,2942.3509,2963.2813,2977.3234,2937.6481,2962.9333,-20.5824,-0.6947,16015324.0,29236998.6,2025-08-19 15:11:41
000813.SH,20250819,2942.3509,2963.2813,2977.3234,2937.6481,2962.9333,-20.5824,-0.6947,16015324.0,29236998.6,2025-08-19 15:11:41
000814.SH,20250819,8999.5653,9142.6214,9318.029,8997.9196,9130.4425,-130.8772,-1.4334,13004708.0,51506895.5,2025-08-19 15:05:12
000815.CSI,20250819,20143.622,19961.9952,20271.6257,19960.8783,19933.5718,210.0502,1.0538,10058836.0,38129065.6,2025-08-19 15:11:41
000815.SH,20250819,20143.622,19961.9952,20271.6257,19960.8783,19933.5718,210.0502,1.0538,10058836.0,38129065.6,2025-08-19 15:11:41
000819.SH,20250819,6462.2485,6483.0479,6565.2768,6445.0707,6486.5203,-24.2718,-0.3742,39987558.0,84798431.7,2025-08-19 15:05:12
000820.CSI,20250819,4071.5246,4089.8408,4092.9681,4063.1843,4091.8681,-20.3435,-0.4972,9104465.0,8083284.9,2025-08-19 15:11:41
000820.SH,20250819,4071.5246,4089.8408,4092.9681,4063.1843,4091.8681,-20.3435,-0.4972,9104465.0,8083284.9,2025-08-19 15:11:41
000821.CSI,20250819,6732.9791,6756.1756,6771.2938,6719.03,6752.4655,-19.4864,-0.2886,48705614.0,61230926.0,2025-08-19 15:11:41
000823.SH,20250819,7390.6904,7430.5227,7521.3685,7369.2534,7425.4852,-34.7948,-0.4686,37025172.0,75927223.7,2025-08-19 15:05:12
000824.CSI,20250819,2141.9317,2144.2353,2148.2625,2136.5955,2141.4879,0.4438,0.0207,55595117.0,55331848.5,2025-08-19 15:11:41
000824.SH,20250819,2141.9317,2144.2353,2148.2625,2136.5955,2141.4879,0.4438,0.0207,55595117.0,55331848.5,2025-08-19 15:11:41
000825.CSI,20250819,3388.6136,3390.6965,3404.0083,3380.521,3385.8072,2.8064,0.0829,48968432.0,48991844.3,2025-08-19 15:11:41
000825.SH,20250819,3388.6136,3390.6965,3404.0083,3380.521,3385.8072,2.8064,0.0829,48968432.0,48991844.3,2025-08-19 15:11:41
000827.SH,20250819,1499.7309,1504.7969,1511.2542,1494.8675,1504.7,-4.9691,-0.3302,32109197.0,71795797.1,2025-08-19 15:05:12
000828.CSI,20250819,2700.5867,2710.9218,2736.4357,2694.4193,2713.2999,-12.7132,-0.4686,61228883.0,269323610.7,2025-08-19 15:11:41
000841.CSI,20250819,9034.7559,9177.2651,9359.2943,9033.4541,9166.6965,-131.9406,-1.4393,14125473.0,55532145.2,2025-08-19 15:11:41
000846.CSI,20250819,1327.9502,1333.547,1339.8681,1324.9599,1332.1954,-4.2452,-0.3187,88012353.0,189725187.7,2025-08-19 15:11:41
