ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000806.CSI,20250818,8689.981,8617.8798,8745.8547,8614.686,8594.0766,95.9044,1.1159,90754024.84,222534613.617
000807.CSI,20250818,19229.5427,19146.9454,19342.0985,19136.0197,19126.523,103.0197,0.5386,7659724.78,29929104.202
000808.CSI,20250818,9276.7901,9246.1434,9309.6964,9221.0983,9228.773,48.0171,0.5203,24089084.14,70979622.489
000811.CSI,20250818,7822.9113,7863.468,7897.0303,7747.6724,7813.7573,9.154,0.1172,46341272.37,79799997.545
000811.SH,20250818,7822.9113,7863.468,7897.0303,7747.6724,7813.7573,9.154,0.1172,46341272.37,79799997.545
000812.CSI,20250818,6274.6947,6282.3634,6322.4601,6240.8603,6257.0943,17.6004,0.2813,31841761.78,67141261.729
000812.SH,20250818,6274.6947,6282.3634,6322.4601,6240.8603,6257.0943,17.6004,0.2813,31841761.78,67141261.729
000813.CSI,20250818,2962.9333,2979.1509,2990.6215,2955.7221,2953.9385,8.9948,0.3045,20717068.02,37434327.675
000813.SH,20250818,2962.9333,2979.1509,2990.6215,2955.7221,2953.9385,8.9948,0.3045,20717068.02,37434327.675
000814.SH,20250818,9130.4425,9110.7287,9168.1946,9076.9026,9096.1672,34.2753,0.3768,12580814.0,43663911.916
000815.CSI,20250818,19933.5718,19859.0159,20049.6294,19845.5717,19836.5533,97.0185,0.4891,8519201.85,30011142.455
000815.SH,20250818,19933.5718,19859.0159,20049.6294,19845.5717,19836.5533,97.0185,0.4891,8519201.85,30011142.455
000819.SH,20250818,6486.5203,6507.9476,6546.7411,6412.8802,6460.9498,25.5705,0.3958,45995940.0,85431446.994
000820.CSI,20250818,4091.8681,4183.4379,4192.3221,4084.3936,4104.6692,-12.8011,-0.3119,13335628.16,12784621.984
000820.SH,20250818,4091.8681,4183.4379,4192.3221,4084.3936,4104.6692,-12.8011,-0.3119,13335628.16,12784621.984
000821.CSI,20250818,6752.4655,6790.7636,6791.8437,6742.9681,6765.2616,-12.7961,-0.1891,58587150.62,73915532.217
000823.SH,20250818,7425.4852,7445.6614,7502.687,7339.206,7397.1363,28.3489,0.3832,42272278.0,74043391.9
000824.CSI,20250818,2141.4879,2150.2418,2151.411,2137.9404,2142.8689,-1.381,-0.0644,67371269.44,65215648.814
000824.SH,20250818,2141.4879,2150.2418,2151.411,2137.9404,2142.8689,-1.381,-0.0644,67371269.44,65215648.814
000825.CSI,20250818,3385.8072,3399.8182,3400.9397,3382.3569,3376.9057,8.9015,0.2636,54783557.56,55221362.944
000825.SH,20250818,3385.8072,3399.8182,3400.9397,3382.3569,3376.9057,8.9015,0.2636,54783557.56,55221362.944
000827.SH,20250818,1504.7,1498.2755,1516.0827,1494.0966,1491.1898,13.5102,0.906,41224328.0,85028163.347
000828.CSI,20250818,2713.2999,2684.5232,2741.6203,2668.3989,2664.9577,48.3422,1.814,78045886.57,311112716.676
000841.CSI,20250818,9166.6965,9144.3218,9202.9903,9108.5816,9126.3856,40.3109,0.4417,13881540.68,47484939.993
000846.CSI,20250818,1332.1954,1330.1017,1342.8329,1326.5669,1324.8153,7.3801,0.5571,113181567.55,226356586.966
