TS_CODE,EXCHANGE,NAME,CLOSE,PCT_CHG,AMOUNT,FLOAT_MV,TOTAL_MV,TURNOVER_RATIO,LIMIT_TIMES,FIRST_TIME,LAST_TIME,FD_AMOUNT,OPEN_TIMES,INDUSTRY,UP_STAT,LIMIT,TRADE_DATE,PE,LIMIT_AMOUNT,SWING
002364.SZ,SZ,中恒电气,22.47,-10.012014389038086,1208304448,12540591487.199999,12663304651.199999,9.576973915100098,1.0,,95512.0,162669520.0,5,电源设备,,D,20250820,156.01963806152344,975982314.0,
300345.SZ,SZ,华民股份,8.79,6.934306621551514,1135902896,3897051879.4799995,5080141964.639999,27.760934829711914,,92500.0,,,3,光伏设备,0/0,Z,20250820,,,16.545013427734375
002623.SZ,SZ,亚玛顿,23.0,5.166895389556885,814584864,4568630875.0,4578437500.0,17.585817337036133,,93024.0,,,1,光伏设备,0/0,Z,20250820,,,5.761316776275635
603657.SH,SH,春光科技,42.21,9.069767951965332,373500336,5706372010.5,5706372010.5,6.7191481590271,,93048.0,,,2,家电行业,1/2,Z,20250820,,,7.855297088623047
002131.SZ,SZ,利欧股份,5.07,3.893442392349243,11893306112,29658100461.99,34332918597.120003,39.51290512084961,,93227.0,,,1,互联网服,2/3,Z,20250820,,,9.631147384643555
002826.SZ,SZ,易明医药,25.74,5.535055160522461,799424000,4487161252.86,4908045285.0,17.49331283569336,,93348.0,,,2,中药,0/0,Z,20250820,,,12.013120651245117
601609.SH,SH,金田股份,14.75,9.99254322052002,5759500288,25129407292.5,25129407204.0,23.704038619995117,,93808.0,,,2,有色金属,4/6,Z,20250820,,,14.541387557983398
603339.SH,SH,四方科技,16.15,0.6857855319976807,772868368,4997474976.25,4997474863.2,14.993274688720703,,93857.0,,,1,通用设备,2/3,Z,20250820,,,13.528677940368652
603681.SH,SH,永冠新材,17.15,5.929586410522461,379977184,3277897490.35,3277897490.35,11.52318286895752,,93925.0,,,1,化学制品,0/0,Z,20250820,,,9.450277328491211
002272.SZ,SZ,川润股份,19.17,6.381797790527344,4560439808,7409067896.160001,9295097764.320002,61.55994415283203,,94730.0,,,3,工程机械,3/4,Z,20250820,,,9.822419166564941
600301.SH,SH,华锡有色,28.46,8.21292781829834,942608736,7836053481.26,18002870253.12,12.100178718566895,,95411.0,,,15,小金属,0/0,Z,20250820,,,10.228137016296387
301026.SZ,SZ,浩通科技,31.35,10.973451614379883,675757040,3498053879.1000004,4961889492.45,19.09842872619629,,95448.0,,,1,小金属,0/0,Z,20250820,,,20.849557876586914
